#{"t_start": 1631274958.9852774, "env_id": null}
r,l,t
1.119048,6,39.957405
1.166667,8,39.98972
-0.857143,7,40.021724
-9.738095,12,40.066129
-9.761905,11,40.111216
1.261905,12,40.159774
-9.738095,12,40.379851
-0.809524,9,40.423089
1.166667,8,40.454559
1.166667,8,40.487572
1.214286,10,40.529492
-9.857143,7,40.559378
-0.785714,10,40.608325
-9.738095,12,40.660532
-0.785714,10,40.703417
1.071429,4,40.724399
-0.880952,6,40.755278
1.142857,7,40.784232
1.142857,7,40.816165
1.309524,14,40.876005
1.166667,8,40.907869
1.238095,11,40.953379
1.214286,10,40.9952
1.238095,11,41.038604
1.238095,11,41.081451
1.166667,8,41.116358
1.095238,5,41.140596
1.119048,6,41.16857
1.095238,5,41.193612
1.261905,12,41.24405
1.166667,8,41.276997
-9.785714,10,41.317854
1.214286,10,41.362221
-0.809524,9,41.405151
1.357143,16,41.651205
-0.761905,11,41.707588
-9.785714,10,41.748478
-0.857143,7,41.783674
1.142857,7,41.814625
1.166667,8,41.850535
-0.785714,10,41.899364
1.214286,10,41.943247
1.095238,5,41.966186
-0.690476,14,42.031029
1.071429,4,42.049945
1.166667,8,42.08585
-0.761905,11,42.139707
-9.690476,14,42.198824
1.166667,8,42.234761
-0.666667,15,42.30355
1.142857,7,42.334459
1.261905,12,42.39031
-9.714286,13,42.449152
1.214286,10,42.493136
1.166667,8,42.528061
1.166667,8,42.563475
-0.761905,11,42.615335
-0.880952,6,42.642229
1.190476,9,42.682156
-0.785714,10,42.727358
-9.642857,16,42.797066
1.190476,9,43.010024
-9.785714,10,43.048692
-9.690476,14,43.103547
1.238095,11,43.149668
-0.809524,9,43.19084
1.214286,10,43.233687
1.238095,11,43.275575
1.238095,11,43.318541
1.238095,11,43.366421
1.071429,4,43.385373
1.166667,8,43.420242
1.214286,10,43.468146
-0.880952,6,43.499029
-9.809524,9,43.538924
1.238095,11,43.587792
1.190476,9,43.628682
1.166667,8,43.661594
1.190476,9,43.699528
-9.690476,14,43.758367
1.285714,13,43.818204
1.261905,12,43.870037
-9.833333,8,43.903949
-0.880952,6,43.930772
1.166667,8,43.967156
1.190476,9,44.011044
1.142857,7,44.04292
1.190476,9,44.081817
1.142857,7,44.322329
-0.809524,9,44.366211
1.285714,13,44.425055
-9.785714,10,44.468936
1.261905,12,44.524821
1.309524,14,44.585624
1.190476,9,44.628467
-9.738095,12,44.679323
1.095238,5,44.702295
1.214286,10,44.748175
1.285714,13,44.805984
-0.714286,13,44.861835
1.119048,6,44.889795
1.238095,11,44.937634
1.214286,10,44.986537
1.119048,6,45.017453
-9.738095,12,45.069319
-9.833333,8,45.109208
-9.690476,14,45.175995
1.166667,8,45.215923
-0.880952,6,45.247803
-9.738095,12,45.301659
1.214286,10,45.35352
-9.690476,14,45.417351
-0.785714,10,45.468214
1.166667,8,45.708864
1.214286,10,45.75873
-9.690476,14,45.827549
-0.738095,12,45.888387
1.261905,12,45.948257
1.261905,12,46.004108
1.261905,12,46.061965
1.095238,5,46.085894
1.142857,7,46.123754
-0.666667,15,46.19759
-9.785714,10,46.245428
1.238095,11,46.302278
1.166667,8,46.343167
-9.809524,9,46.383094
1.285714,13,46.450879
1.095238,5,46.476811
1.261905,12,46.535803
1.238095,11,46.593503
1.119048,6,46.623387
1.142857,7,46.658294
-9.738095,12,46.711154
-9.785714,10,46.754066
1.285714,13,46.816532
-0.690476,14,46.885365
1.071429,4,46.908304
-0.833333,8,47.15265
-0.833333,8,47.201519
1.166667,8,47.243408
-0.666667,15,47.321985
-9.690476,14,47.386017
-0.833333,8,47.4299
-0.833333,8,47.474785
-0.761905,11,47.533622
1.142857,7,47.571521
-0.833333,8,47.614406
1.142857,7,47.651308
1.261905,12,47.71064
1.238095,11,47.763498
1.190476,9,47.80738
1.142857,7,47.846277
-0.809524,9,47.895226
1.166667,8,47.937081
1.333333,15,48.009887
1.190476,9,48.048815
1.166667,8,48.087678
-9.666667,15,48.163476
-9.738095,12,48.220324
1.261905,12,48.311082
-0.785714,10,48.361945
1.238095,11,48.409817
1.095238,5,48.432797
1.238095,11,48.640728
1.309524,14,48.703121
1.261905,12,48.763926
1.071429,4,48.783872
1.261905,12,48.842716
-0.809524,9,48.893579
-0.761905,11,48.947434
1.190476,9,48.987327
-9.761905,11,49.0352
1.142857,7,49.065119
-9.714286,13,49.11798
1.071429,4,49.136968
-0.833333,8,49.174864
1.261905,12,49.226727
1.261905,12,49.277593
1.095238,5,49.302522
1.238095,11,49.3494
1.166667,8,49.385307
1.190476,9,49.4242
-9.785714,10,49.465051
1.214286,10,49.507973
1.142857,7,49.534863
1.214286,10,49.572762
1.190476,9,49.611157
-0.833333,8,49.646997
1.142857,7,49.677915
-9.809524,9,49.716529
-9.690476,14,49.932143
1.119048,6,49.956909
-0.809524,9,49.996174
-0.714286,13,50.052024
-9.714286,13,50.104882
-0.761905,11,50.154751
1.119048,6,50.181674
-0.785714,10,50.228414
-0.833333,8,50.260329
1.190476,9,50.296233
-9.785714,10,50.33507
1.071429,4,50.353709
1.214286,10,50.3936
1.214286,10,50.433455
-0.904762,5,50.456394
-9.833333,8,50.488308
-0.785714,10,50.532393
-9.785714,10,50.573247
1.238095,11,50.620121
1.142857,7,50.647257
1.095238,5,50.670196
1.071429,4,50.689146
-9.738095,12,50.739013
-0.857143,7,50.771924
-0.809524,9,50.810823
-0.833333,8,50.847683
1.190476,9,50.888574
1.190476,9,50.926748
1.166667,8,50.962493
1.119048,6,50.987428
-9.785714,10,51.183994
1.214286,10,51.225844
1.214286,10,51.265737
1.238095,11,51.311122
-0.714286,13,51.364868
-9.857143,7,51.395647
-9.690476,14,51.450263
-9.809524,9,51.488207
-0.833333,8,51.526058
1.261905,12,51.574929
-0.857143,7,51.606966
1.238095,11,51.649851
1.166667,8,51.68485
1.333333,15,51.745991
-9.690476,14,51.801841
-9.690476,14,51.858956
-9.761905,11,51.902841
1.190476,9,51.953706
1.119048,6,52.002576
-0.738095,12,52.07139
-9.714286,13,52.137215
1.071429,4,52.16215
1.190476,9,52.209023
-0.785714,10,52.256895
1.214286,10,52.305764
1.142857,7,52.553103
-9.690476,14,52.620914
1.166667,8,52.661069
-0.809524,9,52.705962
-0.904762,5,52.742869
1.285714,13,52.807657
1.238095,11,52.860548
1.166667,8,52.892429
-0.833333,8,52.927736
1.214286,10,52.991565
-0.857143,7,53.024165
-9.714286,13,53.078052
1.238095,11,53.123385
-9.785714,10,53.163279
1.142857,7,53.194231
-9.785714,10,53.238439
1.190476,9,53.27961
-0.833333,8,53.321236
-0.857143,7,53.355111
1.333333,15,53.421931
1.190476,9,53.465816
1.261905,12,53.519671
-0.833333,8,53.560561
-9.714286,13,53.637356
-9.761905,11,53.68822
1.166667,8,53.731108
1.261905,12,54.002241
1.119048,6,54.036152
-0.904762,5,54.063111
-9.738095,12,54.117964
-0.880952,6,54.147884
1.190476,9,54.190769
1.119048,6,54.220697
1.285714,13,54.275546
-0.738095,12,54.329403
1.261905,12,54.38326
-0.785714,10,54.42687
1.190476,9,54.460777
1.166667,8,54.49547
1.214286,10,54.536337
1.142857,7,54.567709
1.166667,8,54.600752
1.190476,9,54.639647
1.238095,11,54.684527
1.333333,15,54.750311
