#{"t_start": 1631273319.9714222, "env_id": null}
r,l,t
1.166667,8,439.58018
-0.904762,5,439.603125
-0.738095,12,439.658936
-9.666667,15,439.720803
-9.761905,11,439.765685
-9.809524,9,439.807538
1.142857,7,439.839456
-9.619048,17,439.911261
-0.761905,11,439.961161
1.095238,5,439.983069
-0.785714,10,440.02898
1.309524,14,440.09481
-0.809524,9,440.13671
1.214286,10,440.181538
1.238095,11,440.461346
-0.833333,8,440.509216
1.214286,10,440.558085
1.095238,5,440.585013
1.238095,11,440.638871
-0.833333,8,440.684349
1.119048,6,440.714936
-0.785714,10,440.762972
1.261905,12,440.806971
1.119048,6,440.838265
1.214286,10,440.884537
-0.833333,8,440.9314
1.166667,8,440.962599
1.119048,6,440.993845
1.357143,16,441.056327
1.238095,11,441.103192
1.095238,5,441.130724
1.309524,14,441.177588
-9.738095,12,441.23976
-0.809524,9,441.271039
-9.785714,10,441.317903
-9.666667,15,441.364767
-9.809524,9,441.416528
-0.785714,10,441.457054
1.309524,14,441.509738
-9.595238,18,441.737064
-0.809524,9,441.768273
1.238095,11,441.819378
1.166667,8,441.850632
-0.833333,8,441.87967
-9.666667,15,441.946281
1.142857,7,441.977669
1.309524,14,442.024527
-0.809524,9,442.071391
-0.761905,11,442.118255
-0.928571,4,442.133877
1.214286,10,442.16508
-0.714286,13,442.233214
-9.785714,10,442.273241
-9.785714,10,442.304448
1.214286,10,442.335729
1.238095,11,442.38259
1.190476,9,442.413838
1.095238,5,442.445077
1.119048,6,442.476318
1.285714,13,442.523183
1.214286,10,442.554426
1.214286,10,442.601291
1.190476,9,442.632534
1.214286,10,442.679408
1.142857,7,442.710639
1.142857,7,442.741884
-9.738095,12,443.001894
1.119048,6,443.031906
1.095238,5,443.055518
-0.738095,12,443.110426
-0.857143,7,443.143255
1.166667,8,443.175902
-0.761905,11,443.223562
-0.857143,7,443.244735
1.142857,7,443.280394
-9.666667,15,443.342023
-9.714286,13,443.397865
-0.761905,11,443.446735
-0.714286,13,443.51156
1.214286,10,443.55644
1.214286,10,443.603361
1.142857,7,443.634265
-0.690476,14,443.69373
1.142857,7,443.728409
-9.761905,11,443.772486
-9.809524,9,443.790174
1.261905,12,443.851448
1.142857,7,443.874468
1.238095,11,443.924448
1.309524,14,443.975152
1.142857,7,444.006396
-9.619048,17,444.068841
1.214286,10,444.26277
-0.761905,11,444.309592
1.261905,12,444.356496
1.214286,10,444.387698
-9.714286,13,444.450229
-9.690476,14,444.497086
1.214286,10,444.54395
1.142857,7,444.575154
1.333333,15,444.63764
-9.785714,10,444.668883
-0.738095,12,444.721456
-0.761905,11,444.768363
1.404762,18,444.839141
1.190476,9,444.879035
1.190476,9,444.917661
-0.690476,14,444.972558
1.309524,14,445.019386
1.285714,13,445.081909
-0.761905,11,445.128774
1.071429,4,445.144402
1.166667,8,445.175638
-0.857143,7,445.214743
1.071429,4,445.224543
-9.785714,10,445.271447
1.166667,8,445.458863
1.261905,12,445.505766
1.214286,10,445.53697
1.166667,8,445.568212
1.166667,8,445.599455
1.285714,13,445.66194
1.190476,9,445.69323
1.095238,5,445.708805
1.142857,7,445.740084
1.166667,8,445.77133
-9.690476,14,445.833812
-9.666667,15,445.880676
1.214286,10,445.927539
-9.642857,16,445.989988
1.119048,6,446.00561
-0.785714,10,446.036852
-9.738095,12,446.083752
-0.904762,5,446.114958
1.071429,4,446.13058
1.309524,14,446.187876
1.142857,7,446.220788
1.261905,12,446.274484
-0.714286,13,446.33229
1.119048,6,446.357223
-9.738095,12,446.409729
-9.761905,11,446.454621
-0.738095,12,446.691794
1.285714,13,446.745628
1.190476,9,446.774151
1.190476,9,446.805393
1.214286,10,446.852257
1.261905,12,446.899121
1.095238,5,446.914713
-0.809524,9,446.951392
-0.857143,7,446.989171
1.166667,8,447.019773
1.190476,9,447.057671
1.166667,8,447.091276
-0.690476,14,447.151105
1.214286,10,447.192961
1.095238,5,447.215942
-0.857143,7,447.242852
-0.785714,10,447.285527
1.190476,9,447.316732
1.095238,5,447.338092
-0.880952,6,447.369372
1.166667,8,447.400615
-0.809524,9,447.447478
-9.833333,8,447.478722
1.238095,11,447.509964
1.261905,12,447.572449
-0.809524,9,447.603695
1.238095,11,447.650519
-0.809524,9,447.681762
-0.690476,14,447.900497
1.261905,12,447.947362
-0.714286,13,447.994188
-9.785714,10,448.041052
-0.857143,7,448.056674
1.190476,9,448.103587
1.238095,11,448.134817
-9.690476,14,448.182781
-0.833333,8,448.230978
1.190476,9,448.268309
1.142857,7,448.287739
1.166667,8,448.31894
-9.761905,11,448.365843
-0.761905,11,448.416638
-9.761905,11,448.463553
-0.809524,9,448.494796
1.261905,12,448.541622
-9.761905,11,448.588525
-9.690476,14,448.635349
-9.785714,10,448.682742
1.238095,11,448.729601
-9.714286,13,448.776467
