,date,reference,paymentDelay,createdAt,identifier,paymentMethod,paye,client,numeroCheque,ID_Produits,id,status
0,2020-06-01T10:36:14.068Z,1000288,2021-08-08T00:17:13.010Z,2020-05-28T09:36:43.068Z,50610526000,check,True,189000,,"{38300: 24, 38650: 24, 38350: 24}",1035650,True
0,2019-03-05T11:48:13.068Z,1000038,2021-08-08T00:17:13.310Z,2019-03-05T11:48:13.068Z,2124175837000,check,True,189450,,{},1035650,True
0,2020-09-08T22:00:00Z,1000344,2020-11-11T23:00:00Z,2020-09-11T12:28:00.626Z,593002116000,traite,True,189950,,"{38650: 144, 38350: 144}",1035650,True
0,2020-02-02T18:18:03.068Z,1000228,2021-08-08T00:17:13.907Z,2020-02-02T18:18:03.068Z,1640846008000,check,True,189300,,"{38500: 24, 38300: 24, 38550: 140, 38350: 96, 38400: 140}",1035650,True
0,2020-09-28T22:00:00Z,1000355,2020-09-28T22:00:00Z,2020-09-27T15:23:49.151Z,1491475896000,traite,True,188700,,"{38400: 96, 38450: 48, 38600: 48, 38550: 96}",1035650,True
0,2020-12-31T23:00:00Z,1100002,2021-03-08T23:00:00Z,2021-01-01T12:42:09.529Z,1713573584000,traite,True,189650,,"{38450: 144, 38300: 48, 38550: 144, 38500: 48, 38650: 48, 38400: 144, 38600: 48}",1035650,True
0,2020-01-20T15:33:12.068Z,1000219,2021-08-08T00:17:14.818Z,2020-01-20T15:33:30.068Z,-1736961348000,check,True,190200,,{38400: 350},1035650,True
0,2020-08-10T22:00:00Z,1000329,2021-08-08T00:17:15.120Z,2020-09-11T11:46:20.029Z,1119965441000,check,True,190350,0012107,"{38600: 48, 38650: 48, 38550: 48, 38500: 24}",1035650,True
0,2020-01-03T12:23:01.068Z,1000202,2021-08-08T00:17:15.424Z,2020-01-03T12:23:01.068Z,1705108276000,check,True,188750,,{38400: 96},1035650,True
0,2019-07-12T08:46:21.068Z,1000098,2021-08-08T00:17:15.744Z,2019-07-12T08:46:21.068Z,1875942131000,check,True,190500,,"{38300: 48, 38350: 48, 38600: 48, 38400: 48}",1035650,True
0,2020-06-01T10:13:14.068Z,1000283,2021-08-08T00:17:16.049Z,2020-05-28T09:13:42.068Z,-354916748000,check,True,190350,,"{38600: 48, 38650: 48}",1035650,True
0,2019-10-09T18:54:59.068Z,1000161,2021-08-08T00:17:16.348Z,2019-10-09T18:54:59.068Z,1940964311000,check,True,189100,,"{38550: 24, 38400: 48}",1035650,True
0,2020-10-05T22:00:00Z,1000371,2020-10-05T22:00:00Z,2020-10-04T16:46:49.541Z,-356774952000,traite,True,189900,,{},1035650,True
0,2020-03-16T12:20:45.068Z,1000271,2021-08-08T00:17:16.945Z,2020-03-16T12:20:56.068Z,2041237027000,check,True,189400,,"{38600: 70, 38500: 96, 38350: 140}",1035650,True
0,2019-06-02T22:46:43.068Z,1000076,2021-08-08T00:17:17.245Z,2019-06-02T22:46:43.068Z,-1148272831000,check,True,189000,,{38600: 12},1035650,True
0,2020-01-14T13:17:29.068Z,1000215,2021-08-08T00:17:17.544Z,2020-01-14T13:17:29.068Z,424941033000,check,True,189450,,"{38600: 12, 38350: 12, 38300: 12}",1035650,True
